Date and Time,Seconds     ,Pressure (PSI)                ,Temperature (C)               ,
9/22/2016 12:30:00 AM ,  286200.000,                        11.273,                         9.702,
9/22/2016 12:45:00 AM ,  287100.000,                        11.278,                         9.702,
9/22/2016 1:00:00 AM  ,  288000.000,                        11.275,                         9.702,
9/22/2016 1:15:00 AM  ,  288900.000,                        11.274,                         9.702,
9/22/2016 1:30:00 AM  ,  289800.000,                        11.272,                         9.702,
9/22/2016 1:45:00 AM  ,  290700.000,                        11.276,                         9.702,
9/22/2016 2:00:00 AM  ,  291600.000,                        11.273,                         9.702,
9/22/2016 2:15:00 AM  ,  292500.000,                        11.271,                         9.702,
9/22/2016 2:30:00 AM  ,  293400.000,                        11.268,                         9.650,
9/22/2016 2:45:00 AM  ,  294300.000,                        11.266,                         9.598,
9/22/2016 3:00:00 AM  ,  295200.000,                        11.264,                         9.547,
9/22/2016 3:15:00 AM  ,  296100.000,                        11.267,                         9.495,
9/22/2016 3:30:00 AM  ,  297000.000,                        11.267,                         9.443,
9/22/2016 3:45:00 AM  ,  297900.000,                        11.268,                         9.391,
9/22/2016 4:00:00 AM  ,  298800.000,                        11.269,                         9.339,
9/22/2016 4:15:00 AM  ,  299700.000,                        11.266,                         9.288,
9/22/2016 4:30:00 AM  ,  300600.000,                        11.262,                         9.184,
9/22/2016 4:45:00 AM  ,  301500.000,                        11.268,                         9.184,
9/22/2016 5:00:00 AM  ,  302400.000,                        11.261,                         9.080,
9/22/2016 5:15:00 AM  ,  303300.000,                        11.263,                         9.080,
9/22/2016 5:30:00 AM  ,  304200.000,                        11.261,                         9.028,
9/22/2016 5:45:00 AM  ,  305100.000,                        11.264,                         9.028,
